Epoch	Training Loss	Training Accuracy
1	0.4791373908519745	0.7791666388511658
2	0.4794917702674866	0.7673611044883728
3	0.4671996235847473	0.7777777910232544
4	0.46697768568992615	0.7805555462837219
5	0.49695253372192383	0.7604166865348816
6	0.4520361125469208	0.7923611402511597
7	0.44680434465408325	0.7951388955116272
8	0.47668197751045227	0.7756944298744202
9	0.4738340973854065	0.7763888835906982
10	0.4575570821762085	0.7826389074325562
11	0.43403565883636475	0.8013888597488403
12	0.46021169424057007	0.793749988079071
13	0.437896728515625	0.8111110925674438
14	0.43593770265579224	0.8076388835906982
15	0.4397246837615967	0.7993055582046509
16	0.46460410952568054	0.7791666388511658
17	0.4910740852355957	0.762499988079071
18	0.4456186592578888	0.7979166507720947
19	0.46366915106773376	0.7833333611488342
20	0.4437236487865448	0.8048611283302307
21	0.41607195138931274	0.8215277791023254
22	0.46958041191101074	0.7847222089767456
23	0.45939216017723083	0.7861111164093018
24	0.4335232973098755	0.8104166388511658
25	0.44769781827926636	0.7923611402511597
26	0.42182227969169617	0.8145833611488342
27	0.44395244121551514	0.8013888597488403
28	0.41203516721725464	0.8201388716697693
29	0.4471546709537506	0.7958333492279053
30	0.44142231345176697	0.7979166507720947
31	0.42391157150268555	0.8111110925674438
32	0.4388526380062103	0.800000011920929
33	0.44121554493904114	0.7916666865348816
34	0.44248420000076294	0.7902777791023254
35	0.4509274363517761	0.7909722328186035
36	0.41225665807724	0.8180555701255798
37	0.42474859952926636	0.8145833611488342
38	0.4249843657016754	0.8069444298744202
39	0.42244166135787964	0.8090277910232544
40	0.42653438448905945	0.8090277910232544
41	0.4297630786895752	0.8041666746139526
42	0.42312324047088623	0.8083333373069763
43	0.4237406551837921	0.8111110925674438
44	0.3882158100605011	0.8340277671813965
45	0.4275694191455841	0.8118055462837219
46	0.4104028344154358	0.8208333253860474
47	0.42133665084838867	0.8069444298744202
48	0.4113461673259735	0.8173611164093018
49	0.40717414021492004	0.8215277791023254
50	0.4038195013999939	0.8166666626930237
51	0.4354832172393799	0.8048611283302307
52	0.42584699392318726	0.8083333373069763
53	0.3998776376247406	0.8270833492279053
54	0.39934098720550537	0.8270833492279053
55	0.39428117871284485	0.8347222208976746
56	0.44051340222358704	0.8090277910232544
57	0.4114401936531067	0.8201388716697693
58	0.4118635058403015	0.8166666626930237
59	0.414785772562027	0.8229166865348816
60	0.418276846408844	0.8152777552604675
61	0.41248011589050293	0.8152777552604675
62	0.40983036160469055	0.8187500238418579
63	0.4329489469528198	0.8020833134651184
64	0.3974120318889618	0.8270833492279053
65	0.3791992664337158	0.8381944298744202
66	0.42762136459350586	0.8138889074325562
67	0.3872198760509491	0.8347222208976746
68	0.38320600986480713	0.8374999761581421
69	0.38654014468193054	0.8361111283302307
70	0.4199538230895996	0.8034722208976746
71	0.40861865878105164	0.8215277791023254
72	0.39370909333229065	0.824999988079071
73	0.38467928767204285	0.831944465637207
74	0.39685919880867004	0.8291666507720947
75	0.3964489698410034	0.8305555582046509
76	0.3915513753890991	0.831944465637207
77	0.3876606523990631	0.8368055820465088
78	0.4009314775466919	0.8229166865348816
79	0.4064251482486725	0.824999988079071
80	0.407856822013855	0.8222222328186035
81	0.39974814653396606	0.824999988079071
82	0.35757824778556824	0.855555534362793
83	0.3930719494819641	0.824999988079071
84	0.40312835574150085	0.8229166865348816
85	0.39601677656173706	0.8305555582046509
86	0.3923135995864868	0.8340277671813965
87	0.4038962125778198	0.8215277791023254
88	0.4153079092502594	0.824999988079071
89	0.38102591037750244	0.8374999761581421
90	0.39394381642341614	0.8368055820465088
91	0.4192847013473511	0.8159722089767456
92	0.39984554052352905	0.8298611044883728
93	0.4068475067615509	0.8222222328186035
94	0.40783119201660156	0.8138889074325562
95	0.40053409337997437	0.8187500238418579
96	0.3696575164794922	0.8465277552604675
97	0.38161328434944153	0.8361111283302307
98	0.39362314343452454	0.8298611044883728
99	0.41534286737442017	0.8180555701255798
100	0.3926798403263092	0.831944465637207
