Epoch	Training Loss	Training Accuracy
1	0.26755422353744507	0.8604166507720947
2	0.2833617031574249	0.8500000238418579
3	0.2675212323665619	0.8708333373069763
4	0.2738476097583771	0.8722222447395325
5	0.2827639877796173	0.8826388716697693
6	0.25738734006881714	0.8770833611488342
7	0.2357276976108551	0.875
8	0.28272995352745056	0.862500011920929
9	0.24361294507980347	0.8694444298744202
10	0.2770727872848511	0.856249988079071
11	0.27033737301826477	0.8527777791023254
12	0.2643977701663971	0.8687499761581421
13	0.2617400884628296	0.8618055582046509
14	0.25175970792770386	0.8805555701255798
15	0.27562999725341797	0.8729166388511658
16	0.2753647565841675	0.8597221970558167
17	0.2566167116165161	0.8736110925674438
18	0.2613297998905182	0.8638888597488403
19	0.2525073289871216	0.863194465637207
20	0.2468910813331604	0.8618055582046509
21	0.2567954659461975	0.8659722208976746
22	0.2213832437992096	0.8763889074325562
23	0.23726524412631989	0.8763889074325562
24	0.24859915673732758	0.8652777671813965
25	0.23078937828540802	0.8777777552604675
26	0.22657892107963562	0.875
27	0.23053611814975739	0.8881944417953491
28	0.23130998015403748	0.875
29	0.2640780508518219	0.8701388835906982
30	0.23776012659072876	0.8701388835906982
31	0.22346144914627075	0.8777777552604675
32	0.22748881578445435	0.8909721970558167
33	0.24307674169540405	0.8659722208976746
34	0.2425849884748459	0.8652777671813965
35	0.2300802618265152	0.8777777552604675
36	0.2241199016571045	0.8916666507720947
37	0.24063508212566376	0.8611111044883728
38	0.22500860691070557	0.8881944417953491
39	0.21529650688171387	0.887499988079071
40	0.20791037380695343	0.886805534362793
41	0.22798499464988708	0.8833333253860474
42	0.2020748108625412	0.9069444537162781
43	0.20895126461982727	0.9020833373069763
44	0.21384695172309875	0.8854166865348816
45	0.205669105052948	0.8902778029441833
46	0.21032193303108215	0.9006944298744202
47	0.23014400899410248	0.8895833492279053
48	0.2268741875886917	0.8833333253860474
49	0.18580351769924164	0.8951388597488403
50	0.20037510991096497	0.9006944298744202
51	0.18944713473320007	0.9055555462837219
52	0.20337417721748352	0.8951388597488403
53	0.1697714477777481	0.9208333492279053
54	0.18695899844169617	0.9201388955116272
55	0.1922679841518402	0.90625
56	0.17250683903694153	0.925000011920929
57	0.17770077288150787	0.9236111044883728
58	0.19800430536270142	0.9159722328186035
59	0.17097701132297516	0.9243055582046509
60	0.18505260348320007	0.9145833253860474
61	0.183388352394104	0.925694465637207
62	0.18078172206878662	0.9131944179534912
63	0.18064814805984497	0.9069444537162781
64	0.17185965180397034	0.9263888597488403
65	0.1610817313194275	0.9347222447395325
66	0.1919116973876953	0.9125000238418579
67	0.17727552354335785	0.925694465637207
68	0.17165611684322357	0.9243055582046509
69	0.16063806414604187	0.9298611283302307
70	0.16456001996994019	0.9222221970558167
71	0.15233838558197021	0.9236111044883728
72	0.1679609715938568	0.9312499761581421
73	0.1672225147485733	0.9347222447395325
74	0.16655351221561432	0.9347222447395325
75	0.16058023273944855	0.9284722208976746
76	0.15691803395748138	0.9361110925674438
77	0.17956894636154175	0.925000011920929
78	0.15021835267543793	0.9375
79	0.15408578515052795	0.9361110925674438
80	0.14114592969417572	0.9333333373069763
81	0.15458709001541138	0.9395833611488342
82	0.17392732203006744	0.9243055582046509
83	0.16981954872608185	0.9243055582046509
84	0.12721854448318481	0.9451388716697693
85	0.15829229354858398	0.9277777671813965
86	0.15225891768932343	0.9270833134651184
87	0.14343014359474182	0.9402777552604675
88	0.17110873758792877	0.9201388955116272
89	0.15386095643043518	0.9284722208976746
90	0.1318846344947815	0.9409722089767456
91	0.14976216852664948	0.9326388835906982
92	0.15154235064983368	0.9381944537162781
93	0.1470414102077484	0.9395833611488342
94	0.17386455833911896	0.925000011920929
95	0.15130525827407837	0.9326388835906982
96	0.16287806630134583	0.9319444298744202
97	0.1337002068758011	0.9472222328186035
98	0.14863118529319763	0.9340277910232544
99	0.12398988008499146	0.9444444179534912
100	0.1514943391084671	0.9277777671813965
