Epoch	Training Loss	Training Accuracy
1	0.6337180733680725	0.7048611044883728
2	0.5039212703704834	0.7645833492279053
3	0.45365089178085327	0.7888888716697693
4	0.4517560601234436	0.8194444179534912
5	0.48803120851516724	0.78125
6	0.452379435300827	0.793749988079071
7	0.37543827295303345	0.8361111283302307
8	0.3208311200141907	0.8687499761581421
9	0.39893171191215515	0.824999988079071
10	0.3151766061782837	0.862500011920929
11	0.34634146094322205	0.8423610925674438
12	0.3200001120567322	0.8618055582046509
13	0.30849310755729675	0.8618055582046509
14	0.3338722288608551	0.8604166507720947
15	0.3759826719760895	0.8500000238418579
16	0.374039888381958	0.8277778029441833
17	0.3741356432437897	0.8472222089767456
18	0.29596632719039917	0.8708333373069763
19	0.31428083777427673	0.862500011920929
20	0.2851818799972534	0.8763889074325562
21	0.24050098657608032	0.9048610925674438
22	0.24775364995002747	0.8993055820465088
23	0.22067856788635254	0.9055555462837219
24	0.25342532992362976	0.9006944298744202
25	0.2558208107948303	0.8965277671813965
26	0.24760468304157257	0.9013888835906982
27	0.21905146539211273	0.9027777910232544
28	0.23945648968219757	0.9097222089767456
29	0.2361525148153305	0.9020833373069763
30	0.20359429717063904	0.9243055582046509
31	0.19359935820102692	0.918749988079071
32	0.23420363664627075	0.9097222089767456
33	0.46578356623649597	0.793749988079071
34	0.4712081849575043	0.8027777671813965
35	0.3524079918861389	0.8541666865348816
36	0.3064329922199249	0.8708333373069763
37	0.2936798930168152	0.887499988079071
38	0.27072855830192566	0.8881944417953491
39	0.25053173303604126	0.9041666388511658
40	0.26886409521102905	0.8895833492279053
41	0.1858755350112915	0.9236111044883728
42	0.2025972157716751	0.918749988079071
43	0.19114801287651062	0.925000011920929
44	0.19601313769817352	0.925694465637207
45	0.1724204570055008	0.9368055462837219
46	0.21069025993347168	0.9236111044883728
47	0.18893910944461823	0.9194444417953491
48	0.16105425357818604	0.9298611283302307
49	0.18320749700069427	0.9270833134651184
50	0.1973082274198532	0.9201388955116272
51	0.17720596492290497	0.9298611283302307
52	0.19882112741470337	0.9270833134651184
53	0.19641606509685516	0.9173611402511597
54	0.17851261794567108	0.9333333373069763
55	0.1764613389968872	0.9381944537162781
56	0.15597429871559143	0.9354166388511658
57	0.1690664142370224	0.9340277910232544
58	0.14216013252735138	0.9513888955116272
59	0.13755209743976593	0.9520833492279053
60	0.11512261629104614	0.9555555582046509
61	0.12975257635116577	0.9486111402511597
62	0.12427842617034912	0.9604166746139526
63	0.1465049386024475	0.9416666626930237
64	0.13337506353855133	0.9465277791023254
65	0.134773388504982	0.9479166865348816
66	0.10818657279014587	0.9604166746139526
67	0.11776409298181534	0.949305534362793
68	0.14089417457580566	0.9409722089767456
69	0.10207545757293701	0.9618055820465088
70	0.11845663189888	0.9534721970558167
71	0.10396946966648102	0.956944465637207
72	0.24988117814064026	0.9083333611488342
73	0.17743252217769623	0.9312499761581421
74	0.15343235433101654	0.9465277791023254
75	0.12607133388519287	0.949999988079071
76	0.16956521570682526	0.9361110925674438
77	0.17695821821689606	0.9201388955116272
78	0.171442911028862	0.9395833611488342
79	0.12801000475883484	0.956250011920929
80	0.1410210132598877	0.9472222328186035
81	0.13823732733726501	0.9437500238418579
82	0.11286213248968124	0.956250011920929
83	0.09934618324041367	0.9597222208976746
84	0.11374323815107346	0.9548611044883728
85	0.10442319512367249	0.9597222208976746
86	0.14935415983200073	0.9430555701255798
87	0.12020966410636902	0.956250011920929
88	0.09373743087053299	0.956944465637207
89	0.10404252260923386	0.9590277671813965
90	0.1575472354888916	0.9402777552604675
91	0.10584593564271927	0.9604166746139526
92	0.10043457895517349	0.9604166746139526
93	0.0899110808968544	0.9597222208976746
94	0.09729152172803879	0.9645833373069763
95	0.07329380512237549	0.9729166626930237
96	0.08441321551799774	0.9729166626930237
97	0.11966381222009659	0.9576388597488403
98	0.10473781079053879	0.9604166746139526
99	0.10601690411567688	0.9576388597488403
100	0.07910452783107758	0.9645833373069763
