Epoch	Training Loss	Training Accuracy
1	0.27881351113319397	0.8805555701255798
2	0.25994834303855896	0.8833333253860474
3	0.22141140699386597	0.9131944179534912
4	0.26327016949653625	0.8888888955116272
5	0.22464779019355774	0.9111111164093018
6	0.25378090143203735	0.8958333134651184
7	0.24021776020526886	0.9034722447395325
8	0.22881050407886505	0.9152777791023254
9	0.22144080698490143	0.9131944179534912
10	0.2058981955051422	0.9076389074325562
11	0.24385860562324524	0.8999999761581421
12	0.22451399266719818	0.9097222089767456
13	0.18128104507923126	0.9312499761581421
14	0.1826346218585968	0.9229166507720947
15	0.18734365701675415	0.9319444298744202
16	0.1989394873380661	0.9229166507720947
17	0.17003096640110016	0.9361110925674438
18	0.1531275510787964	0.9451388716697693
19	0.1999669373035431	0.9215278029441833
20	0.18512384593486786	0.9326388835906982
21	0.15345638990402222	0.9402777552604675
22	0.16850723326206207	0.9381944537162781
23	0.18990613520145416	0.9201388955116272
24	0.15353356301784515	0.9388889074325562
25	0.15113480389118195	0.9409722089767456
26	0.15581925213336945	0.9458333253860474
27	0.12801334261894226	0.9534721970558167
28	0.15093953907489777	0.9437500238418579
29	0.13072265684604645	0.9520833492279053
30	0.14363433420658112	0.9375
31	0.15641339123249054	0.9361110925674438
32	0.21758174896240234	0.9145833253860474
33	0.16235989332199097	0.9361110925674438
34	0.17182686924934387	0.9361110925674438
35	0.1253022998571396	0.9576388597488403
36	0.15421147644519806	0.9409722089767456
37	0.14383912086486816	0.9423611164093018
38	0.14077843725681305	0.9340277910232544
39	0.12326478958129883	0.9520833492279053
40	0.12984655797481537	0.9472222328186035
41	0.20573218166828156	0.9312499761581421
42	0.10058360546827316	0.9604166746139526
43	0.13739942014217377	0.9506944417953491
44	0.1463720202445984	0.9465277791023254
45	0.10504581779241562	0.9652777910232544
46	0.10842105001211166	0.9576388597488403
47	0.13443893194198608	0.9458333253860474
48	0.12466862052679062	0.9527778029441833
49	0.09138006716966629	0.9624999761581421
50	0.1925235092639923	0.9319444298744202
51	0.1706654280424118	0.9444444179534912
52	0.09713923931121826	0.9631944298744202
53	0.11417463421821594	0.9624999761581421
54	0.11780162155628204	0.949999988079071
55	0.11626787483692169	0.9680555462837219
56	0.08541545271873474	0.9673610925674438
57	0.12701204419136047	0.956944465637207
58	0.12214012444019318	0.9604166746139526
59	0.2581399977207184	0.918749988079071
60	0.3147067129611969	0.8923611044883728
61	0.19582954049110413	0.925694465637207
62	0.12829944491386414	0.9506944417953491
63	0.15979258716106415	0.9402777552604675
64	0.1360819935798645	0.9402777552604675
65	0.11737539619207382	0.9527778029441833
66	0.09477796405553818	0.9611111283302307
67	0.07818679511547089	0.9715277552604675
68	0.0857783779501915	0.96875
69	0.08174018561840057	0.9666666388511658
70	0.11635243147611618	0.9597222208976746
71	0.09814006835222244	0.96875
72	0.08147114515304565	0.9708333611488342
73	0.07469446957111359	0.9729166626930237
74	0.08639455586671829	0.9680555462837219
75	0.1194106712937355	0.9618055820465088
76	0.08034182339906693	0.9736111164093018
77	0.10565239936113358	0.9631944298744202
78	0.08644665777683258	0.96875
79	0.10150516033172607	0.9618055820465088
80	0.08202197402715683	0.9715277552604675
81	0.09100595116615295	0.9659722447395325
82	0.07274089753627777	0.9756944179534912
83	0.07112456113100052	0.9784722328186035
84	0.08751355856657028	0.9645833373069763
85	0.06647256761789322	0.9777777791023254
86	0.05959359183907509	0.9763888716697693
87	0.08639786392450333	0.9645833373069763
88	0.06841230392456055	0.9763888716697693
89	0.08589018881320953	0.9652777910232544
90	0.051752544939517975	0.9861111044883728
91	0.08704535663127899	0.96875
92	0.07158443331718445	0.9750000238418579
93	0.08328631520271301	0.9680555462837219
94	0.07672876864671707	0.9722222089767456
95	0.063780277967453	0.9798611402511597
96	0.11509978771209717	0.9631944298744202
97	0.10077530890703201	0.9604166746139526
98	0.05648013576865196	0.9784722328186035
99	0.06104016676545143	0.9763888716697693
100	0.10181954503059387	0.9694444537162781
